,Unnamed: 0,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
4146,4146,F33562,5926.0,E,4.0,2020-11-30 12:18:16.730,2020-11-30,2020-11-30 00:00:00,2020-11-30,,1990.862,0.0,0.0
4147,4147,F33563,8232.0,E,4.0,2020-11-30 12:27:49.663,2020-11-30,2020-11-25 00:00:00,2020-12-30,,2900.0000000000005,0.0,0.0
4155,4155,F33571,2702.0,E,4.0,2020-11-30 16:26:24.423,2020-11-30,2020-11-30 00:00:00,2020-11-30,,2335.862,0.0,0.0
4167,4167,F33583,6349.0,E,4.0,2020-11-30 17:37:44.153,2020-11-30,2020-11-30 00:00:00,2020-11-30,,4125.0,0.0,0.0
4170,4170,F33586,5926.0,E,4.0,2020-11-30 17:48:21.227,2020-11-30,2020-11-17 00:00:00,2020-11-30,,700.0000000000001,0.0,0.0
4183,4183,F33599,8222.0,E,4.0,2020-12-01 17:08:50.747,2020-12-01,2020-11-25 00:00:00,2020-12-01,,3208.0000000000005,0.0,0.0
4187,4187,F33603,8249.0,E,4.0,2020-12-02 10:49:52.240,2020-12-02,2020-12-02 00:00:00,2020-12-02,,5427.0,0.0,0.0
4197,4197,F33613,5854.0,E,4.0,2020-12-02 17:27:09.213,2020-12-02,2020-12-02 00:00:00,2020-12-02,,5680.000000000001,0.0,0.0
4200,4200,F33616,644.0,E,4.0,2020-12-03 08:59:08.600,2020-12-03,2020-12-10 00:00:00,2021-02-01,,11891.000000000002,0.0,0.0
4201,4201,F33617,3926.0,E,4.0,2020-12-03 09:35:53.433,2020-12-03,2020-12-03 00:00:00,2021-01-02,,2056.23,0.0,0.0
4205,4205,F33621,5919.0,E,4.0,2020-12-03 11:54:22.987,2020-12-03,2020-12-02 00:00:00,2020-12-18,,7660.400000000001,0.0,0.0
4216,4216,F33632,5926.0,E,4.0,2020-12-04 10:59:41.347,2020-12-04,2020-11-23 00:00:00,2020-12-04,,480.00000000000006,0.0,0.0
4221,4221,F33637,4906.0,E,4.0,2020-12-04 13:10:24.877,2020-12-04,2020-12-04 00:00:00,2020-12-04,,264.0,0.0,0.0
4222,4222,F33638,4486.0,E,4.0,2020-12-04 13:19:26.850,2020-12-04,2020-12-04 00:00:00,2020-12-04,,1086.0,0.0,0.0
4223,4223,F33639,3930.0,E,4.0,2020-12-04 13:54:27.183,2020-12-04,2020-11-30 00:00:00,2021-01-03,,28305.000000000004,0.0,0.0
4226,4226,F33642,644.0,E,4.0,2020-12-04 15:49:13.583,2020-12-04,2020-12-10 00:00:00,2021-02-02,,71346.0,0.0,0.0
4236,4236,F33652,4733.0,E,4.0,2020-12-07 13:20:09.077,2020-12-07,2020-11-30 00:00:00,2020-12-22,,2200.0,0.0,0.0
4238,4238,F33654,1586.0,E,4.0,2020-12-07 14:32:30.767,2020-12-07,2020-11-25 00:00:00,2020-12-07,,11138.1,0.0,0.0
4241,4241,F33657,7053.0,E,4.0,2020-12-07 15:54:00.143,2020-12-07,2020-12-04 00:00:00,2020-12-07,,1637.9,0.0,0.0
4252,4252,F33668,6049.0,E,4.0,2020-12-08 16:54:46.830,2020-12-08,2020-12-08 00:00:00,2020-12-08,,13195.000000000002,0.0,0.0
